mac_id,total_times,total_days
338620,11,3
339257,11,2
339314,11,3
3394654,11,7
339730,11,3
3398603,11,6
340107,11,5
340643,11,4
341044,11,6
3410616,11,4
341124,11,10
3416223,11,3
3418617,11,4
3421444,11,1
3421694,11,2
3422366,11,1
342336,11,3
342651,11,4
342672,11,1
342734,11,6
342925,11,2
343059,11,8
3431987,11,2
3434336,11,4
3439670,11,2
344208,11,1
345319,11,3
3457775,11,3
3458888,11,1
3462122,11,3
346264,11,10
346370,11,4
346511,11,2
346886,11,4
3475204,11,4
3476817,11,2
3479579,11,3
3479637,11,8
3484117,11,2
348440,11,1
3487684,11,6
3487804,11,2
3490173,11,2
349121,11,1
3493408,11,4
349592,11,8
349885,11,1
350028,11,2
350086,11,4
3514412,11,6
3516676,11,2
3518869,11,2
351914,11,5
3519159,11,8
3519329,11,1
3527661,11,7
3530217,11,7
3532733,11,2
353644,11,4
353719,11,6
35405,11,5
3544501,11,6
3546518,11,2
3550110,11,9
3550286,11,4
3552447,11,7
3556639,11,3
3567238,11,1
356943,11,3
3569577,11,5
356966,11,3
3576580,11,3
3587484,11,6
359869,11,3
360063,11,5
360646,11,2
360746,11,2
3607516,11,1
3615724,11,2
3619332,11,6
3623196,11,1
3625683,11,8
363758,11,1
3639959,11,8
3644014,11,2
364973,11,2
3654656,11,1
3660188,11,2
3666753,11,1
3669894,11,4
3674553,11,7
3674700,11,5
3675194,11,1
3680023,11,3
368568,11,3
369249,11,7
3695563,11,2
3703023,11,7
3703941,11,2
3720196,11,6
3725553,11,7
372784,11,5
3732309,11,2
3732894,11,2
3733784,11,7
373391,11,2
374942,11,2
375755,11,2
3765011,11,2
377954,11,1
3781741,11,5
3787151,11,1
3787212,11,6
3797122,11,1
379948,11,2
3815739,11,4
3823938,11,6
3837915,11,2
3844284,11,11
385132,11,6
3859858,11,5
3860223,11,11
386075,11,9
3862996,11,8
3863830,11,1
386477,11,4
3874285,11,2
3878044,11,2
3880050,11,4
3881123,11,4
3886540,11,1
3890735,11,1
3894569,11,4
3902750,11,1
3911822,11,3
3912296,11,2
3912989,11,1
391689,11,9
392269,11,6
393918,11,3
3941628,11,3
3957312,11,4
396181,11,7
3966013,11,6
3976007,11,4
3987881,11,8
3989995,11,6
399242,11,4
399340,11,4
401597,11,3
4016608,11,6
401677,11,7
4017422,11,6
4017435,11,1
401917,11,6
4019317,11,1
4022508,11,3
4027892,11,2
4031992,11,3
4034874,11,4
4041304,11,1
4043267,11,1
4045575,11,5
4048206,11,5
4049583,11,4
4049821,11,3
4049965,11,1
4050186,11,3
4051094,11,7
4055045,11,9
4056138,11,7
405723,11,8
4060585,11,3
4063180,11,1
4066927,11,3
407069,11,2
407101,11,3
4073479,11,1
408387,11,4
408557,11,3
4085655,11,1
4091034,11,4
4091504,11,4
4092087,11,6
4092862,11,3
4094433,11,1
410796,11,1
410845,11,8
4108720,11,4
4114716,11,1
4118004,11,5
4119660,11,6
4124780,11,7
4129364,11,5
413058,11,5
4131624,11,1
4132128,11,7
4140501,11,4
4141832,11,1
414905,11,4
4150609,11,3
4150693,11,5
4151336,11,2
4154363,11,8
415458,11,1
415559,11,1
4157990,11,1
416358,11,2
4166405,11,1
4167778,11,2
4168652,11,9
4169205,11,1
4171951,11,9
4172335,11,2
4173467,11,8
4174051,11,3
4177202,11,9
418029,11,6
4181399,11,1
4182274,11,4
41823,11,4
4193653,11,3
419546,11,1
420268,11,3
420392,11,1
4214857,11,6
4218154,11,2
4226023,11,1
4231717,11,7
4234813,11,3
4236800,11,2
424488,11,2
4248656,11,8
4252401,11,5
4254795,11,8
4255895,11,3
4258176,11,6
4260201,11,9
4261864,11,1
426258,11,6
4267003,11,5
4273516,11,2
4277352,11,5
4294721,11,4
4297618,11,2
430976,11,1
4312634,11,2
431585,11,1
4322147,11,4
432775,11,5
4332953,11,1
4335738,11,2
4336716,11,4
4337434,11,5
